candidate_id,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,low_rsi_entries
23,37.5,0.0,68.0,66.0,20,1.6,30.0,32.5,1.2286800130332884,0.6488725931669572,-0.781585479360947,416740.52755416307,123,13
75,40.5,0.0,67.0,65.0,20,1.6,30.0,32.5,1.2282058392321513,0.6494707367884872,-0.7713369194045921,415311.1627822964,134,16
163,43.0,0.0,68.0,65.0,20,1.6,30.0,32.5,1.2221560934287061,0.6342322396135986,-0.7575311035781368,397473.61962980486,122,17
88,40.5,0.0,68.0,65.0,15,1.4,30.0,32.5,1.2208681658965932,0.6513898328587415,-0.771336919404592,393770.16486870724,118,16
131,40.5,0.3,67.5,65.0,20,1.6,30.0,32.5,1.2205381702162836,0.6315058391877107,-0.7741176788979386,392826.4804627321,156,16
36,37.5,0.1,67.5,66.0,15,1.4,30.0,32.5,1.2199293866045187,0.6534488735536312,-0.7875993884076186,391091.1143757793,138,13
176,43.0,0.1,67.5,65.0,15,1.4,30.0,32.5,1.2197666896419443,0.6382097835645933,-0.764207335018526,390628.5583487594,136,17
94,40.5,0.0,68.0,66.0,20,1.4,30.0,32.5,1.2185441287639995,0.6512997456550528,-0.7713369194045921,387169.13487220474,131,16
154,43.0,0.0,67.5,65.0,20,1.4,30.0,32.5,1.214914129255622,0.6432981525245898,-0.7575311035781371,377066.07493417297,140,17
175,43.0,0.1,67.0,66.0,20,1.6,30.0,32.5,1.214517587253026,0.6355906478990454,-0.7642073350185261,375977.52550518233,144,17
43,37.5,0.1,68.0,65.0,20,1.6,30.0,32.5,1.2114995949897094,0.646949006250595,-0.7875993884076188,367788.8952484946,131,13
19,37.5,0.0,68.0,65.0,20,1.6,30.0,32.5,1.20388726852063,0.6508014955366622,-0.7815854793609471,347871.56688481173,122,13
114,40.5,0.1,68.0,65.0,20,1.4,30.0,32.5,1.2031879250972692,0.6496436451949655,-0.7776330162254856,346093.43567021843,140,16
174,43.0,0.1,67.0,66.0,20,1.4,30.0,32.5,1.2016722258613095,0.647518200666009,-0.7642073350185261,342268.88258863665,166,17
32,37.5,0.1,67.5,65.0,15,1.4,30.0,32.5,1.2015175085381657,0.6546783529865241,-0.7875993884076188,341880.72352902795,136,13
74,40.5,0.0,67.0,65.0,20,1.4,30.0,32.5,1.1983027378609323,0.6595239546020949,-0.7713369194045918,333908.24714627874,152,16
10,37.5,0.0,67.5,65.0,20,1.4,30.0,32.5,1.1967048420982302,0.6596396854414373,-0.7815854793609471,330010.7474519348,140,13
31,37.5,0.1,67.0,66.0,20,1.6,30.0,32.5,1.1963115601530325,0.6521254315478006,-0.7875993884076186,329058.0417205522,144,13
30,37.5,0.1,67.0,66.0,20,1.4,30.0,32.5,1.1835718032500564,0.6637291217537599,-0.7875993884076189,299556.01227804366,166,13
148,43.0,0.0,67.0,66.0,15,1.4,30.0,32.5,1.18198078926617,0.6446448620102644,-0.7575311035781367,296051.10281000385,139,17
151,43.0,0.0,67.0,66.0,20,1.6,30.0,32.5,1.1806060127509217,0.6371042193498613,-0.7575311035781368,293053.5702679214,135,17
90,40.5,0.0,68.0,65.0,20,1.4,30.0,32.5,1.1780644105324538,0.6518652077089331,-0.7713369194045921,287586.74614649493,129,16
181,43.0,0.1,67.5,66.0,15,1.6,30.0,32.5,1.1778703862896238,0.6299766773636509,-0.764207335018526,287173.3672293398,123,17
98,40.5,0.1,67.0,65.0,20,1.4,30.0,32.5,1.1773519919037283,0.6591018137461961,-0.7776330162254858,286071.63299009507,161,16
