start,low_rsi_entry,tqqq_rebound_exit_pct,cagr,annualized_vol,max_drawdown,final_multiple,override_entries,override_exits,override_day_share,wait_exit_day_share
2010-02-12,30.0,26.0,0.8158077487355313,0.6526944072615252,-0.7919146215329635,15245.998642825954,6,6,0.26026050626689606,0.0014745637748832638
2010-02-12,30.0,26.5,0.8251768470294234,0.6527343700932411,-0.7919146215329635,16567.05898825832,6,6,0.2605062668960433,0.0014745637748832638
2010-02-12,30.0,27.0,0.827505660400591,0.6527936584348012,-0.7919146215329638,16911.697612038133,6,6,0.2639469157041042,0.0014745637748832638
2010-02-12,30.0,27.5,0.827505660400591,0.6527936584348012,-0.7919146215329638,16911.697612038133,6,6,0.2639469157041042,0.0014745637748832638
2010-02-12,30.0,28.0,0.8264760606802035,0.6527751341772001,-0.7919146215329635,16758.50706543355,6,6,0.2654214794789875,0.0014745637748832638
2010-02-12,30.0,28.5,0.831519578944321,0.6526857420560507,-0.7919146215329638,17521.547589175825,6,6,0.2661587613664291,0.0014745637748832638
2010-02-12,30.0,29.0,0.831519578944321,0.6526857420560507,-0.7919146215329638,17521.547589175825,6,6,0.2661587613664291,0.0014745637748832638
2010-02-12,30.0,29.5,0.8257090737696899,0.6525748005632662,-0.7919146215329638,16645.23682977783,6,6,0.26910788891619564,0.0014745637748832638
2010-02-12,30.0,30.0,0.8336081444396166,0.6526728751097262,-0.7919146215329638,17846.972514370747,6,6,0.2695994101744901,0.0014745637748832638
2010-02-12,30.0,30.5,0.8381288094685155,0.6527690204549922,-0.7919146215329635,18570.866722990555,6,6,0.26984517080363724,0.0014745637748832638
2010-02-12,30.0,31.0,0.8385715465424832,0.6527715759937618,-0.7919146215329635,18643.223908923326,6,6,0.27033669206193167,0.0014745637748832638
2010-02-12,30.0,31.5,0.8385715465424832,0.6527715759937618,-0.7919146215329635,18643.223908923326,6,6,0.27033669206193167,0.0014745637748832638
2010-02-12,30.0,32.0,0.841626457984306,0.6528004394695313,-0.7919146215329638,19149.7475521174,6,6,0.2705824526910789,0.0014745637748832638
