Date,gspc_rsi14_prev_close,uvix_high_rsi_state,base_strategy_return,uvix_return_proxy,strategy_return,selected_leg,base_target_regime_at_open,strategy_equity
2012-03-12,60.9579685428027,False,0.0015997963176783,-0.09116531114011987,0.0015997963176783,above,above,4.921655658801981
2012-03-13,61.04997551200282,False,0.0563327737783159,-0.09448816412397369,0.0563327737783159,above,above,5.198906173644041
2012-03-14,69.73156107157598,True,0.0111979947637781,0.06983053573104754,0.06983053573104754,UVIX,above,5.561948576965055
2012-03-15,68.62505452964805,True,0.0076466771858714,-0.02237205872472519,-0.02237205872472519,UVIX,above,5.437516336777292
2012-03-16,71.08673033460039,True,-0.0021803247718903,-0.01255287397181686,-0.01255287397181686,UVIX,above,5.369259879482032
2012-03-19,71.54052304364274,True,0.0217677242753524,-0.12251914234972654,-0.12251914234972654,UVIX,above,4.711422763995097
2012-03-20,73.1532082482309,True,0.0054753722324079,-0.07625957257217623,-0.07625957257217623,UVIX,above,4.35213167780601
2012-03-21,69.91869974245941,True,-0.0003399511721364,-0.1228725241007949,-0.1228725241007949,UVIX,above,3.8173742733349587
2012-03-22,67.9082180149311,True,-0.0060437003191678,0.038558421555408846,0.038558421555408846,UVIX,above,3.9645661998009807
2012-03-23,60.68446379946062,False,-0.0013696696807284,-0.1375941517724351,-0.0013696696807284,above,above,3.9591360536798725
2012-03-26,62.52320543619075,False,0.0522257555026486,-0.18471375699555198,0.0522257555026486,above,above,4.165904925221079
2012-03-27,69.42324229041374,True,0.0038290692671525,0.1905558686847097,0.1905558686847097,UVIX,above,4.959742557104492
2012-03-28,66.70311439809399,True,-0.0116912904060402,0.041738650318024324,0.041738650318024324,UVIX,above,5.1667555173629
2012-03-29,62.1178153766115,False,-0.010267957800507,-0.039400531356408135,-0.010267957800507,above,above,5.113703489745081
2012-03-30,60.663724945784935,False,-0.0069718540641364,-0.03527650792705544,-0.0069718540641364,above,above,5.078051495287314
2012-04-02,62.81632982013824,False,0.0305075430776993,-0.035312798043170494,0.0305075430776993,above,above,5.232970370030567
2012-04-03,66.8010305933602,False,8.252046132350976e-05,0.06462329062991042,8.252046132350976e-05,above,above,5.233402197159594
2012-04-04,62.91316759314208,False,-0.0407951588353706,0.03969503152159643,-0.0407951588353706,above,above,5.019904723277091
2012-04-05,54.25029189345502,False,0.0182635810926989,0.04307860194187047,0.0182635810926989,above,above,5.111586160268285
2012-04-09,53.763757744606046,False,-0.0230009194064172,0.10763221185956602,-0.0230009194064172,above,above,4.994014978956996
2012-04-10,45.784226756422356,False,-0.0482756952071302,0.18025733733266364,-0.0482756952071302,above,above,4.752925433973026
2012-04-11,36.99320297593024,False,0.0144676158709879,-0.03569085418099354,0.0144676158709879,above,above,4.821688933415197
2012-04-12,42.12298557181765,False,0.0335371591829485,-0.1787756800083245,0.0335371591829485,above,above,4.9833946827058035
2012-04-13,50.25191987660261,False,-0.0452255055068778,0.10871296649496238,-0.0452255055068778,above,above,4.758018139040147
2012-04-16,44.126129435107515,False,-0.031488875368683,-0.016896147574381896,-0.031488875368683,above,above,4.608193498857979
2012-04-17,43.896400006795,False,0.0589475456713011,-0.13072491751976162,0.0589475456713011,above,above,4.879835195594103
2012-04-18,52.14347537700035,False,-0.0073060877796199,0.04297744511541963,-0.0073060877796199,above,above,4.844182691305013
2012-04-19,50.037155182614754,False,-0.0323320219669652,0.016178798429170756,-0.0323320219669652,above,above,4.687560470117747
2012-04-20,47.0538718329686,False,-0.0107754382698215,-0.059115571987965736,-0.0107754382698215,above,above,4.637049951635937
2012-04-23,47.71144618044384,False,-0.0251704651091454,0.05992411987263719,-0.0251704651091454,above,above,4.520333247618921
