Date,signal_source,signal_price,signal_sma,signal_below_sma,trigger_reference_price,drawdown_trigger,target_regime,realized_regime,strategy_return,strategy_equity,tecl_buy_hold_return,tecl_buy_hold_equity
2012-05-16,GSPC,1324.800048828125,1302.3371871948243,False,,False,above,above,-0.0108994628829987,534.2462634482506,-0.026047059320412513,0.665391789417465
2012-05-17,GSPC,1304.8599853515625,1303.2984367370605,False,,False,above,above,-0.026047059320412513,520.3307193325053,-0.05266413361384392,0.630349507314029
2012-05-18,GSPC,1295.219970703125,1304.141061401367,True,1295.219970703125,False,wait_mix,above,-0.05266413361384392,492.9279528061907,-0.04060781860408558,0.6047523888638462
2012-05-21,GSPC,1315.989990234375,1305.2946235656739,False,,False,above,wait_mix,0.006638813013489418,496.20040931399313,0.0869170861616333,0.6573157043531787
2012-05-22,GSPC,1316.6300048828125,1306.6533737182617,False,,False,above,above,0.0869170861616333,539.3287030437751,-0.010412415927499863,0.6504714598437759
2012-05-23,GSPC,1318.8599853515625,1307.8715614318849,False,,False,above,above,-0.010412415927499863,533.7129882660442,0.00589227957773053,0.65430421954251
2012-05-24,GSPC,1320.6800537109375,1308.9756240844727,False,,False,above,above,0.00589227957773053,536.8577744071738,-0.029079402551513756,0.6352774437512793
2012-05-25,GSPC,1317.8199462890625,1309.9309364318847,False,,False,above,above,-0.029079402551513756,521.2462710722779,-0.006033093035521353,0.6314447558297596
2012-05-29,GSPC,1332.4200439453125,1311.0369369506836,False,,False,above,above,-0.006033093035521353,518.1015438244802,0.04227189586971525,0.6581371227956729
2012-05-30,GSPC,1313.3199462890625,1311.7771240234374,False,,False,above,above,0.04227189586971525,540.0026783349674,-0.019134675840166482,0.6455438822925978
2012-05-31,GSPC,1310.3299560546875,1312.4945610046386,True,1310.3299560546875,False,wait_mix,above,-0.019134675840166482,529.6699021322062,-0.015691289340245995,0.635414466453719
2012-06-01,GSPC,1278.0400390625,1312.9369987487794,True,1310.3299560546875,False,wait_mix,wait_mix,0.017127515932213695,538.7418318197896,-0.08380047518280798,0.5821664322268669
2012-06-04,GSPC,1278.1800537109375,1313.4027488708496,True,1310.3299560546875,False,wait_mix,wait_mix,0.05423239882505558,567.9590937067813,0.0063486797107268345,0.5858624204434119
2012-06-05,GSPC,1285.5,1313.783499145508,True,1310.3299560546875,False,wait_mix,wait_mix,-0.012103838365809787,561.0846086381626,0.023130615956366896,0.599413779093956
2012-06-06,GSPC,1315.1300048828125,1314.4976867675782,False,,False,above,wait_mix,-0.017847141505415814,551.0708522312865,0.07650174711950264,0.6452699804421472
2012-06-07,GSPC,1314.989990234375,1315.0577491760255,True,1314.989990234375,False,wait_mix,above,0.07650174711950264,593.2287352136132,-0.015485822979121044,0.6352774437512793
2012-06-08,GSPC,1325.6600341796875,1315.781374359131,False,,False,above,wait_mix,-0.006578383043562874,589.3262493609298,0.029950340561249345,0.65430421954251
2012-06-11,GSPC,1308.9300537109375,1316.3659996032716,True,1308.9300537109375,False,wait_mix,above,0.029950340561249345,606.9767712309733,-0.054393460121010095,0.6187143490698158
2012-06-12,GSPC,1324.1800537109375,1316.9030624389648,False,,False,above,wait_mix,0.00953922833163931,612.7668612437468,0.03429216975967431,0.6399314065608643
2012-06-13,GSPC,1314.8800048828125,1317.2823753356934,True,1314.8800048828125,False,wait_mix,above,0.03429216975967431,633.7799664726201,-0.01989283186191093,0.6272013586869929
2012-06-14,GSPC,1329.0999755859375,1317.9076873779297,False,,False,above,wait_mix,0.016685945267136716,644.3551843045899,0.003273798352240398,0.6292546894615854
2012-06-15,GSPC,1342.8399658203125,1318.5379371643066,False,,False,above,above,0.003273798352240398,646.4646732452238,0.04046071674019247,0.6547147852093284
2012-06-18,GSPC,1344.780029296875,1318.914125061035,False,,False,above,above,0.04046071674019247,672.6210972719399,0.01944409271078129,0.6674451201920578
2012-06-19,GSPC,1357.97998046875,1319.3696876525878,False,,False,above,above,0.01944409271078129,685.699604246523,0.027071214443429747,0.6855136701699978
2012-06-20,GSPC,1355.68994140625,1320.0096244812012,False,,False,above,above,0.027071214443429747,704.2623252768556,0.007388036845949131,0.6905782704236155
2012-06-21,GSPC,1325.510009765625,1320.679811859131,False,,False,above,above,0.007388036845949131,709.4654412852148,-0.07968290643463583,0.6355509867156579
2012-06-22,GSPC,1335.02001953125,1321.2868118286133,False,,False,above,above,-0.07968290643463583,652.9331729086774,0.03230709374165319,0.6560837920210808
2012-06-25,GSPC,1313.719970703125,1321.61537399292,True,1313.719970703125,False,wait_mix,above,0.03230709374165319,674.0275461328731,-0.06780745770663021,0.6115964180416058
2012-06-26,GSPC,1319.989990234375,1322.032624053955,True,1313.719970703125,False,wait_mix,wait_mix,0.024784861584797386,690.7332255681171,0.0087289161999633,0.6169349919228887
2012-06-27,GSPC,1331.8499755859375,1322.4746864318847,False,,False,above,wait_mix,-0.008925606004473058,684.5680129424973,0.021522286381240985,0.6302128434976617
2012-06-28,GSPC,1329.0400390625,1322.8066864013672,False,,False,above,above,0.021522286381240985,699.3014817644828,-0.03149454381282091,0.6103645774867221
2012-06-29,GSPC,1362.1600341796875,1323.6383117675782,False,,False,above,above,-0.03149454381282091,677.2773006086807,0.08454809364224425,0.6619697389399783
2012-07-02,GSPC,1365.510009765625,1324.424624633789,False,,False,above,above,0.08454809364224425,734.5398052423099,0.01344073517106592,0.6708670988923302
2012-07-03,GSPC,1374.02001953125,1325.1131874084472,False,,False,above,above,0.01344073517106592,744.4125602371781,0.022036546440444837,0.6856506928724375
2012-07-05,GSPC,1367.5799560546875,1325.8369369506836,False,,False,above,above,0.022036546440444837,760.8168421916952,0.0031940383255286697,0.6878406874633973
2012-07-06,GSPC,1354.6800537109375,1326.442374420166,False,,False,above,above,0.0031940383255286697,763.2469203443632,-0.0461689690957785,0.6560837920210807
2012-07-09,GSPC,1352.4599609375,1327.1645614624024,False,,False,above,above,-0.0461689690957785,728.0085968665361,-0.005841875299079091,0.6522510323223466
2012-07-10,GSPC,1341.469970703125,1327.9479362487793,False,,False,above,above,-0.005841875299079091,723.7556614269843,-0.031479582179690935,0.631718442348567
2012-07-11,GSPC,1341.449951171875,1328.7341857910155,False,,False,above,above,-0.031479582179690935,700.9721356050769,-0.015167649498358138,0.6221367584333751
2012-07-12,GSPC,1334.760009765625,1329.6203109741211,False,,False,above,above,-0.015167649498358138,690.3400359441035,-0.03146346719879345,0.602562178941243
2012-07-13,GSPC,1356.780029296875,1330.6749359130858,False,,False,above,above,-0.03146346719879345,668.6195448671623,0.04452515487090669,0.6293913532779528
2012-07-16,GSPC,1353.6400146484375,1331.873998260498,False,,False,above,above,0.04452515487090669,698.3899336520878,-0.005436964906572639,0.6259693745776803
2012-07-17,GSPC,1363.6700439453125,1333.155248260498,False,,False,above,above,-0.005436964906572639,694.5928120917179,0.00896571082870734,0.6315816349777705
2012-07-18,GSPC,1372.780029296875,1334.2816856384277,False,,False,above,above,0.00896571082870734,700.8203303886309,0.053099181584131516,0.6651181028986578
