episode_id,episode_number,episode_start,episode_end,episode_days,carry_day,omit_block_days,best_entry,best_exit,best_cagr,full_opt_cagr_without_episode,full_opt_episode_block_return,included_return_days,same_as_full_optimum,entry_shift,exit_shift,best_cagr_pct,full_opt_cagr_without_episode_pct,full_opt_episode_block_return_pct
57,58,2020-01-09,2020-01-23,10,2020-01-24,11,69.4,65.4,0.9338104039120827,0.9338104039120827,0.036224554479703075,5100,True,0.0,0.0,93.38104039120827,93.38104039120827,3.6224554479703075
58,59,2020-06-05,2020-06-10,4,2020-06-11,5,70.9,70.1,0.9177083102382646,0.8797566822568359,0.8117749058198356,5106,False,1.5,4.699999999999989,91.77083102382646,87.97566822568359,81.17749058198356
59,60,2020-08-10,2020-08-10,1,2020-08-11,2,69.4,65.4,0.9291597937149836,0.9291597937149836,0.06273488903156976,5109,True,0.0,0.0,92.91597937149835,92.91597937149835,6.273488903156976
60,61,2020-08-24,2020-09-02,8,2020-09-03,9,69.4,65.4,0.8862947794806488,0.8862947794806488,0.7057899583825853,5102,True,0.0,0.0,88.62947794806489,88.62947794806489,70.57899583825854
61,62,2021-01-08,2021-01-08,1,2021-01-11,2,69.4,65.4,0.9213608695020699,0.9213608695020699,0.1536972302638271,5109,True,0.0,0.0,92.13608695020699,92.13608695020699,15.369723026382708
62,63,2021-04-08,2021-04-19,8,2021-04-20,9,69.4,65.4,0.932957574922445,0.932957574922445,0.040062148544975695,5102,True,0.0,0.0,93.2957574922445,93.2957574922445,4.0062148544975695
63,64,2021-07-02,2021-07-07,3,2021-07-08,4,69.4,65.4,0.9147184445524501,0.9147184445524501,0.24400752535351122,5107,True,0.0,0.0,91.471844455245,91.471844455245,24.400752535351124
64,65,2021-11-02,2021-11-09,6,2021-11-10,7,69.4,65.4,0.9260211912235605,0.9260211912235605,0.11278026520846596,5104,True,0.0,0.0,92.60211912235606,92.60211912235606,11.278026520846595
65,66,2021-11-16,2021-11-19,4,2021-11-22,5,69.4,65.4,0.9235537631783981,0.9235537631783981,0.1361368556369036,5106,True,0.0,0.0,92.35537631783981,92.35537631783981,13.613685563690359
66,67,2022-08-12,2022-08-18,5,2022-08-19,6,69.4,65.4,0.9305286674055826,0.9305286674055826,0.05855657554615812,5105,True,0.0,0.0,93.05286674055826,93.05286674055826,5.855657554615812
67,68,2023-06-12,2023-06-20,6,2023-06-21,7,69.4,65.4,0.9439999364218625,0.9439999364218625,-0.07810618373313283,5104,True,0.0,0.0,94.39999364218625,94.39999364218625,-7.810618373313282
68,69,2023-07-03,2023-07-05,2,2023-07-06,3,69.4,65.4,0.9222071160801333,0.9222071160801333,0.14641245643412426,5108,True,0.0,0.0,92.22071160801333,92.22071160801333,14.641245643412425
69,70,2023-07-13,2023-07-26,10,2023-07-27,11,69.4,65.4,0.9363347020593937,0.9363347020593937,0.0092256106174049,5100,True,0.0,0.0,93.63347020593937,93.63347020593937,0.92256106174049
70,71,2023-07-31,2023-08-01,2,2023-08-02,3,69.0,68.2,0.9192781100460967,0.917036989927331,0.21073830742339705,5108,False,-0.4000000000000057,2.799999999999997,91.92781100460967,91.7036989927331,21.073830742339705
71,72,2023-11-20,2023-12-05,11,2023-12-06,12,69.4,65.4,0.947726378631343,0.947726378631343,-0.1013712997589612,5099,True,0.0,0.0,94.7726378631343,94.7726378631343,-10.13712997589612
