method,method_label,candidate_id,parameters,delay,cagr,post_2008_cagr,post_2010_cagr,volatility,max_drawdown,dotcom_max_drawdown,trailing_252_return,return_2026_ytd,ending_value_1000,tecl_share,tqqq_share,defensive_share,asset_switches,tecl_entries,total_turnover
D_long_riskoff_profit_target,D: Long-off target,off_5_target_0.20,"{""minimum_preceding_riskoff_days"": 5, ""profit_target_from_breakout_close"": 0.2}",1,0.3960786267161527,0.4174140481180648,0.4060008855138044,0.44483300272949333,-0.594031892503056,-0.37620087859235984,0.46816009405606773,-0.04709547625795829,24504323.583378237,0.06716515807424898,0.597664961301325,0.3351698806244261,71,24,77.74721931334652
D_long_riskoff_profit_target,D: Long-off target,off_5_target_0.30,"{""minimum_preceding_riskoff_days"": 5, ""profit_target_from_breakout_close"": 0.3}",0,0.3892335240647824,0.4206108465768721,0.4091219050395656,0.43975677622750403,-0.5272986814342199,-0.2310135761888068,0.5042084464774084,-0.045365094963433994,21114758.40020676,0.14994096812278632,0.5150203332021513,0.3350386986750623,68,24,74.76353659186469
D_long_riskoff_profit_target,D: Long-off target,off_5_target_0.30,"{""minimum_preceding_riskoff_days"": 5, ""profit_target_from_breakout_close"": 0.3}",1,0.389098989153277,0.42858851222686756,0.41853973277798007,0.44267998713826967,-0.5940318925030559,-0.37620087859235984,0.4584883623439018,-0.04709547625795829,21052910.96864761,0.14980978617342253,0.5150203332021513,0.3351698806244261,68,24,74.74721931334652
D_long_riskoff_profit_target,D: Long-off target,off_10_target_0.10,"{""minimum_preceding_riskoff_days"": 10, ""profit_target_from_breakout_close"": 0.1}",0,0.40155513676735444,0.40980367552869934,0.3970078891391826,0.4431881528094914,-0.5272986814342193,-0.2310135761888068,0.45583091847875745,-0.045365094963433994,27589521.821969245,0.04355240718877083,0.6214088941361668,0.3350386986750623,71,23,77.76353659186469
D_long_riskoff_profit_target,D: Long-off target,off_10_target_0.10,"{""minimum_preceding_riskoff_days"": 10, ""profit_target_from_breakout_close"": 0.1}",1,0.4009948013867677,0.4144428403351921,0.40266906669971836,0.4463058794981001,-0.5940318925030557,-0.37620087859235984,0.45974190661166947,-0.04709547625795829,27257372.75971407,0.04342122523940706,0.6214088941361668,0.3351698806244261,71,23,77.74721931334652
D_long_riskoff_profit_target,D: Long-off target,off_10_target_0.20,"{""minimum_preceding_riskoff_days"": 10, ""profit_target_from_breakout_close"": 0.2}",0,0.39512910443065397,0.4099071358577058,0.3971238029401851,0.44252458803983574,-0.5272986814342203,-0.2310135761888068,0.4931034094727962,-0.045365094963433994,24004507.684310593,0.06664043027679391,0.5983208710481438,0.3350386986750623,71,23,77.76353659186469
D_long_riskoff_profit_target,D: Long-off target,off_10_target_0.20,"{""minimum_preceding_riskoff_days"": 10, ""profit_target_from_breakout_close"": 0.2}",1,0.39516865936948276,0.4174140481180648,0.4060008855138044,0.4452377273751564,-0.5940318925030561,-0.37620087859235984,0.46816009405606773,-0.04709547625795829,24025130.647258796,0.06650924832743015,0.5983208710481438,0.3351698806244261,71,23,77.74721931334652
D_long_riskoff_profit_target,D: Long-off target,off_10_target_0.30,"{""minimum_preceding_riskoff_days"": 10, ""profit_target_from_breakout_close"": 0.3}",0,0.3899269587744465,0.4206108465768721,0.4091219050395656,0.44030072524165076,-0.5272986814342195,-0.2310135761888068,0.5042084464774084,-0.045365094963433994,21436336.180374343,0.14928505837596748,0.5156762429489702,0.3350386986750623,68,23,74.76353659186469
D_long_riskoff_profit_target,D: Long-off target,off_10_target_0.30,"{""minimum_preceding_riskoff_days"": 10, ""profit_target_from_breakout_close"": 0.3}",1,0.3881935711508582,0.42858851222686756,0.41853973277798007,0.44308665387767143,-0.5940318925030557,-0.37620087859235984,0.4584883623439018,-0.04709547625795829,20641211.939837582,0.1491538764266037,0.5156762429489702,0.3351698806244261,68,23,74.74721931334652
D_long_riskoff_profit_target,D: Long-off target,off_20_target_0.10,"{""minimum_preceding_riskoff_days"": 20, ""profit_target_from_breakout_close"": 0.1}",0,0.4001122784311706,0.40740157058765547,0.39431695647475284,0.44311099339806526,-0.5272986814342193,-0.2310135761888068,0.41067006970892184,-0.07497850818989038,26742068.183005292,0.03974813065722157,0.6252131706677161,0.3350386986750623,69,20,75.76353659186469
