method,method_label,candidate_id,parameters,min_delay_cagr,mean_delay_cagr,min_post_2008_cagr,min_trailing_252_return,min_2026_ytd_return,worst_volatility,worst_max_drawdown,worst_dotcom_drawdown,min_average_tqqq_weight,max_average_tqqq_weight,min_turnover,max_turnover,min_delay_cagr_value,max_delay_cagr_value,delay_cagr_gap,passes_hard_requirements,passes_original_requirements,positive_2026_both_delays,tqqq_2026_capture_ratio,strong_solution
downside_deviation,Downside-deviation strategy,downside_45_0.16,"{""downside_threshold"": 0.16, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.24766127312006359,0.255553292633556,0.32339692251438157,0.5191741914864718,0.06580260888283984,0.39313937271756916,-0.6047313813609765,-0.31142036061392186,0.5854650400104946,0.5855962219598583,111.9118482008031,111.916179410013,0.24766127312006359,0.26344531214704836,0.015784039026984775,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_45_0.17,"{""downside_threshold"": 0.17, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.24238822899966594,0.25736258857411787,0.295488575598583,0.5191741914864718,0.06580260888283984,0.40843656306108306,-0.6047313813609774,-0.23627766121809224,0.6090777908959727,0.6092089728453365,101.54360181034015,101.55357781730794,0.24238822899966594,0.2723369481485698,0.029948719148903846,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_45_0.18,"{""downside_threshold"": 0.18, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.2857133871044377,0.31011608621471043,0.3342771518370484,0.5191741914864718,0.06580260888283984,0.4232666943472739,-0.5986999094008932,-0.2310135761888068,0.6308539944903582,0.6309851764397219,97.17174022030291,97.18055718035745,0.2857133871044377,0.33451878532498314,0.048805398220545415,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_45_0.19,"{""downside_threshold"": 0.19, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.32603669527657764,0.3328679908405171,0.3592176560418523,0.5191741914864718,0.06580260888283984,0.43062548895969455,-0.5843860010770947,-0.2310135761888068,0.6451528269710088,0.6452840089203725,86.96043043123737,86.9700595595344,0.32603669527657764,0.33969928640445657,0.013662591127878931,True,True,True,0.5813959887552668,True
downside_deviation,Downside-deviation strategy,downside_45_0.20,"{""downside_threshold"": 0.2, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.32945644492421633,0.34904358730044016,0.34539528957049503,0.5191741914864718,0.06580260888283984,0.4398590578166859,-0.6022315858704217,-0.3392857563953485,0.6576151121605667,0.6577462941099305,94.78700936640732,94.79121917852834,0.32945644492421633,0.368630729676664,0.03917428475244766,True,True,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_45_0.21,"{""downside_threshold"": 0.21, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.34845599284575623,0.3715269214819842,0.3557897461790658,0.5025565632166673,0.06580260888283984,0.448672427337654,-0.5891477182119331,-0.3392857563953485,0.6704709431982159,0.6706021251475797,96.60354809830085,96.61674070489732,0.34845599284575623,0.39459785011821213,0.0461418572724559,True,True,True,0.5813959887552668,True
downside_deviation,Downside-deviation strategy,downside_45_0.22,"{""downside_threshold"": 0.22, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.3370491566952081,0.35011544888800905,0.3399493392799888,0.5025565632166673,0.06580260888283984,0.4552165377063411,-0.6053217357835732,-0.3392857563953485,0.6765053128689492,0.676636494818313,104.50973020073764,104.51466534266876,0.3370491566952081,0.36318174108081,0.026132584385601954,True,True,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_45_0.23,"{""downside_threshold"": 0.23, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.33360845906630976,0.3472162954147022,0.33966201013143826,0.5025565632166673,0.06580260888283984,0.46104918298424896,-0.6092137864143394,-0.33154928761238533,0.6831955922865014,0.6833267742358652,102.40830917901704,102.42476730859953,0.33360845906630976,0.3608241317630947,0.02721567269678493,True,True,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_45_0.24,"{""downside_threshold"": 0.24, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.31237113471437006,0.328529786164365,0.3385468297372414,0.5025565632166673,0.06580260888283984,0.4667727728778851,-0.7030724951118578,-0.33154928761238533,0.686212777121868,0.6863439590712318,110.36656059315189,110.37853866129122,0.31237113471437006,0.34468843761435997,0.03231730289998991,True,True,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_45_0.25,"{""downside_threshold"": 0.25, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.31434011388142036,0.3265016247250623,0.3373163093390077,0.5328691900415947,0.06580260888283984,0.4742777946728416,-0.6053217357835738,-0.4989427383820654,0.693034238488784,0.6931654204381477,116.27033834341731,116.27703608002201,0.31434011388142036,0.3386631355687042,0.02432302168728384,True,True,True,0.5813959887552668,False
