ma_window,vol_window,vol_threshold,tolerance,min_delay_cagr,mean_delay_cagr,worst_max_drawdown,worst_dotcom_drawdown
150,47,0.35,0.03,0.389216784635803,0.4048273163590541,-0.5986999094008929,-0.33154928761238545
151,50,0.34,0.03,0.38918489076856155,0.40326466670137107,-0.5986999094008927,-0.33154928761238545
156,46,0.32,0.03,0.3891685655527295,0.3905057476418594,-0.6047313813609771,-0.33928575639534875
153,47,0.32,0.03,0.38907501410580037,0.39178634502131626,-0.6047313813609775,-0.3392857563953483
146,38,0.31,0.02,0.38902524727235743,0.39126399676539236,-0.5141406272273572,-0.2310135761888067
162,42,0.31,0.03,0.3889375650871494,0.3950967209911822,-0.6047313813609771,-0.23101357618880614
148,38,0.31,0.02,0.38887433510550595,0.38909509405155274,-0.5610086004421947,-0.2310135761888067
154,51,0.33,0.03,0.38886458364267895,0.3903614731288775,-0.604731381360977,-0.33154928761238545
164,39,0.31,0.02,0.388790820179735,0.3934689550196123,-0.5686347421536154,-0.2830106212747744
160,39,0.31,0.03,0.38878505863208335,0.39798194569204626,-0.6047313813609769,-0.23101357618880658
144,39,0.31,0.03,0.3887725375789861,0.39329236984244553,-0.5986999094008927,-0.23101357618880625
145,39,0.31,0.03,0.3887725375789861,0.39329236984244553,-0.5986999094008927,-0.23101357618880625
146,39,0.31,0.03,0.3887725375789861,0.39329236984244553,-0.5986999094008927,-0.23101357618880625
132,38,0.31,0.04,0.3887415726805301,0.389751755914322,-0.5434282273265439,-0.23101357618880625
152,40,0.31,0.02,0.38872179998145096,0.3899835169826422,-0.5610086004421955,-0.30062618213660863
154,40,0.31,0.02,0.3886955197937363,0.39227691342472537,-0.5686347421536154,-0.3006261821366085
157,44,0.32,0.03,0.38865330548299837,0.39590154929500343,-0.6047313813609774,-0.3392857563953483
140,42,0.31,0.04,0.3886305003173418,0.4020104277321803,-0.5434282273265444,-0.2310135761888059
165,42,0.31,0.03,0.3886132225678558,0.3966671109739318,-0.6047313813609779,-0.23101357618880614
135,39,0.31,0.04,0.3885723971459025,0.4029402368216657,-0.543428227326544,-0.23101357618880658
152,41,0.32,0.03,0.38856408836106104,0.3933083702706759,-0.5986999094008926,-0.3392857563953483
152,47,0.34,0.03,0.3885469553126324,0.38942787050055083,-0.5986999094008927,-0.33154928761238545
149,45,0.34,0.03,0.3885453558148604,0.3948367850581169,-0.5986999094008931,-0.33154928761238545
