feature,n,win_mean,loss_mean,win_median,loss_median,loss_minus_win_mean,corr_with_episode_return,corr_with_is_win
^VIX3M_PREV_CLOSE_RET_5D,97,-0.03276407160676669,-0.03047051770737457,-0.02446983565531502,-0.029091332751207788,0.00229355389939212,0.06724506908335053,-0.02328919691243299
UUP_PREV_CLOSE_RET_20D,97,-0.00228939930661323,-0.001417938515588385,-0.0014275843994948634,-0.001080305891430211,0.0008714607910248451,-0.10372233676854269,-0.02277966279428726
UVIX_PREV_CLOSE_RET_20D,97,-0.29114676433044673,-0.29538338132524955,-0.29669304849466693,-0.29570241886787163,-0.004236616994802822,-0.14041844359528874,0.020141036078307584
QQQ_SPY_PREV_CLOSE_RET_20D,97,0.008824045328113067,0.009440964834407942,0.00969855798910757,0.011382247399000844,0.0006169195062948746,0.19300991183377814,-0.018060376569362963
GLD_PREV_CLOSE_RET_5D,97,0.0036502993412793378,0.004256816273593797,0.003324632339148703,0.005385519448881992,0.0006065169323144592,-0.03377627920943994,-0.015449424465471479
TLT_PREV_CLOSE_RET_20D,97,-0.004023549917560094,-0.0032474463456710623,-0.005460194734051349,-0.006084877128865573,0.000776103571889032,-0.08831389749328199,-0.013318116548257259
UVIX_OPEN_SMA50_RATIO,97,-0.3515041743327345,-0.34922329531936847,-0.34158788873029067,-0.34854712547623484,0.002280879013366044,-0.19128992438601325,-0.012309483095375166
HYG_LQD_PREV_CLOSE_RATIO_SMA20,97,0.00230702156401369,0.002474093125408545,0.0031972442254033506,0.004014546939533403,0.00016707156139485462,0.0720604556714405,-0.011420800054993971
UUP_SPY_PREV_CLOSE_RATIO_SMA20,97,-0.022324933123588662,-0.02263412282307868,-0.020792208703091397,-0.01758510180338524,-0.00030918969949001937,-0.03684164270222537,0.00967197615386298
FNG_PREV_VALUE,85,65.0,64.68,65.5,70.0,-0.3199999999999932,0.04603668307259326,0.008692216804965045
HYG_TLT_PREV_CLOSE_RATIO_SMA20,97,0.00813981387544493,0.007996046747309086,0.007668317294685201,0.009730020470926859,-0.00014376712813584346,0.05594943307720812,0.004146232181445145
UVIX_PREV_CLOSE_RET_5D,97,-0.09719586737882059,-0.09653146679420221,-0.09375001862645127,-0.1058013679605756,0.000664400584618377,0.03029836976197664,-0.004038631253031604
^VIX_OPEN_SMA20_RATIO,97,-0.06496501262590017,-0.06517057477136978,-0.062018859145891114,-0.06259838136283613,-0.00020556214546961493,0.049264722938874635,0.0016302316553859593
