Date,signal_open,signal_sma_open,signal_below_sma_open,trigger_reference_tqqq_open,target_regime_at_open,overnight_regime,strategy_return
2022-09-29,269.98673614914634,307.2281136265059,True,17.42155481658913,below,below,-0.08441835720323065
2022-09-30,265.25957801190714,306.6799161629284,True,17.42155481658913,below,below,-0.05247689889379126
2022-10-03,263.34129462673053,306.1902815899522,True,17.42155481658913,below,below,0.06935840703391061
2022-10-04,273.0500385934998,305.8090512589706,True,17.42155481658913,below,below,0.09293337287289583
2022-10-05,272.3552344355478,305.362814773938,True,17.42155481658913,below,below,2.220446049250313e-16
2022-10-06,274.97814412366046,304.93694492848283,True,17.42155481658913,below,below,-0.025243689387189905
2022-10-07,269.16463975667466,304.50922621069844,True,17.42155481658913,below,below,-0.11403904956964306
2022-10-10,263.5663998737213,304.0416282255291,True,17.42155481658913,below,below,-0.03128213047749118
2022-10-11,259.0643174959777,303.58530417551196,True,17.42155481658913,below,below,-0.03970355009606319
2022-10-12,257.7920148405686,303.1794885143844,True,17.42155481658913,below,below,-0.0022050160758111392
2022-10-13,249.72744717566468,302.6632915475945,True,17.42155481658913,below,below,0.06685096014874103
2022-10-14,265.425980705299,302.3011557647231,True,17.42155481658913,below,below,-0.09010894618752463
2022-10-17,261.1587563065971,301.75854036839576,True,17.42155481658913,below,below,0.0984637091361733
2022-10-18,270.64248223774274,301.38685547980623,True,17.42155481658913,below,below,0.024870244586445267
2022-10-19,264.1830651708694,300.8936782225645,True,17.42155481658913,below,below,-0.012133463555995316
2022-10-20,263.8403961005883,300.46286470402225,True,17.42155481658913,below,below,-0.016888363635285786
2022-10-21,262.27455211951724,300.0461548850732,True,17.42155481658913,below,below,0.07079632402502711
2022-10-24,269.82032910449914,299.80071001893924,True,17.42155481658913,below,below,0.03403025118322178
2022-10-25,273.461203301568,299.55858473010744,True,17.42155481658913,below,below,0.060178629252246596
2022-10-26,272.53137952198904,299.25227646716627,True,17.42155481658913,below,below,-0.06607561556433761
2022-10-27,270.8970096873967,298.9257933070062,True,17.42155481658913,below,below,-0.05508076001843343
2022-10-28,266.4340778322774,298.59249551056064,True,17.42155481658913,below,below,0.09045260118362197
2022-10-31,272.9815756549536,298.4170095960734,True,17.42155481658913,below,below,-0.03456220837688051
2022-11-01,275.50668317358867,298.1356357563462,True,17.42155481658913,below,below,-0.03102637037020084
2022-11-02,269.2233290522429,297.7077615826385,True,17.42155481658913,below,below,-0.10344792307929895
2022-11-03,257.41038243650985,297.1625677893981,True,17.42155481658913,below,below,-0.057692746583125176
2022-11-04,259.87664754666133,296.63196077095205,True,17.42155481658913,below,below,0.0466472187784952
2022-11-07,260.09200070845395,296.1188629492216,True,17.42155481658913,below,below,0.03175513136565322
2022-11-08,263.40985279403156,295.60102797629446,True,17.42155481658913,below,below,0.02159815383142316
2022-11-09,262.0592168841519,295.097206672451,True,17.42155481658913,below,below,-0.06976746886092344
2022-11-10,270.1335804813157,294.56658700279456,True,17.42155481658913,below,below,0.21875008155174225
2022-11-11,276.54404774774673,294.14624802715264,True,17.42155481658913,below,below,0.05687641043592251
2022-11-14,279.77383416051316,293.7040144916099,True,17.42155481658913,below,below,-0.026466818589024554
2022-11-15,285.9886362575642,293.22675154359587,True,17.42155481658913,below,below,0.040326078095114015
