feature,direction,threshold,available_n,skipped_n,skipped_loss_n,skipped_win_n,skipped_loss_rate,skipped_avg_return_pct,kept_n,kept_win_rate,kept_avg_return_pct,loss_recall_total,win_cost_total,score
UUP_PREV_CLOSE_SMA20_RATIO,<=,0.005181048392055709,97,68,22,46,0.3235294117647059,4.626896162385302,29,0.6551724137931034,1.316768515865697,0.6875,0.7076923076923077,1.6471927712449932
IWM_SPY_PREV_CLOSE_RATIO_SMA20,<=,0.008407921769784905,97,68,21,47,0.3088235294117647,3.4916766775792505,29,0.6206896551724138,3.978662480238511,0.65625,0.7230769230769231,1.6467486958640087
HYG_PREV_CLOSE_SMA20_RATIO,<=,0.004503578164143818,97,49,13,36,0.2653061224489796,4.810741283514309,48,0.6041666666666666,2.4393521481271816,0.40625,0.5538461538461539,1.645927576009185
^VIX_OPEN_GAP_FROM_PREV_CLOSE,<=,0.015556874636691408,97,68,21,47,0.3088235294117647,3.5014065142397337,29,0.6206896551724138,3.955847690827723,0.65625,0.7230769230769231,1.6456079563934694
HYG_TLT_PREV_CLOSE_RATIO_SMA20,<=,0.010758819794225443,97,58,17,41,0.29310344827586204,4.264786740898338,39,0.6153846153846154,2.704040898210313,0.53125,0.6307692307692307,1.643690108570993
IWM_PREV_CLOSE_RET_5D,>=,0.0019040832685812247,97,68,21,47,0.3088235294117647,3.5304420952811317,29,0.6206896551724138,3.8877642594203055,0.65625,0.7230769230769231,1.6422037848230984
IWM_SPY_PREV_CLOSE_RATIO_SMA20,<=,0.01110186721992248,97,77,25,52,0.3246753246753247,3.748091256796295,20,0.65,3.210609961449554,0.78125,0.8,1.6352058227478021
UUP_PREV_CLOSE_SMA20_RATIO,>=,-0.009682130923143715,97,77,25,52,0.3246753246753247,3.7530990565699485,20,0.65,3.1913299323209907,0.78125,0.8,1.6342418212913745
HYG_PREV_CLOSE_RET_20D,<=,0.010412884089866339,97,58,17,41,0.29310344827586204,4.4400083452662,39,0.6153846153846154,2.44345492248375,0.53125,0.6307692307692307,1.6306608097846649
FNG_PREV_VALUE,<=,74.0,85,61,16,45,0.26229508196721313,4.807550416710094,24,0.625,3.6645923097941764,0.5,0.6923076923076923,1.6282170051492295
UUP_PREV_CLOSE_RET_20D,>=,-0.014263237785127014,97,77,25,52,0.3246753246753247,3.7991272629939323,20,0.65,3.0141213375886506,0.78125,0.8,1.6253813915547572
SPY_GLD_PREV_CLOSE_RET_20D,<=,0.028487340218348405,97,39,8,31,0.20512820512820512,4.969042914739714,58,0.5862068965517241,2.741768143576844,0.25,0.47692307692307695,1.6239142250391425
IWM_SPY_PREV_CLOSE_RET_20D,<=,0.005796749389960887,97,49,13,36,0.2653061224489796,5.294915605670633,48,0.6041666666666666,1.945090860925933,0.40625,0.5538461538461539,1.6212145116491221
