stage,cagr,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,seed
local,1.596443001001651,40.5,0.7,66.5,62.5,14.0,1.15,29.5,38.5,
local,1.595989376514618,40.5,0.6,66.0,60.0,14.0,1.05,30.5,34.5,
local,1.5955743606783583,40.5,0.6,66.0,62.5,14.0,1.15,29.5,38.0,
local,1.595520078833942,40.5,0.8,65.5,60.0,14.0,1.1,30.5,34.5,
,1.5954552141848226,39.5,0.7,66.5,61.5,14.0,1.1,30.5,37.5,71
local,1.5954494945686766,40.5,0.9,66.0,63.5,14.0,1.1,30.0,33.0,
,1.5953378641315172,39.0,0.9,66.0,61.0,14.0,1.15,30.0,39.5,97
,1.59521750185361,38.5,0.9,66.5,65.0,14.0,1.1,32.0,34.0,71
local,1.5949160990662907,39.5,0.8,66.5,60.0,14.0,1.1,30.0,33.5,
,1.5949039545609214,41.0,0.8,66.0,60.0,15.0,1.1,29.5,37.0,11
local,1.594891650312487,40.5,0.9,65.5,63.5,14.0,1.1,30.0,38.0,
local,1.5948862019598984,39.5,0.8,66.5,60.0,14.0,1.1,30.0,34.0,
local,1.5944371562920945,40.5,0.9,66.5,63.5,14.0,1.05,29.0,37.0,
,1.5943448028812415,39.5,0.8,66.0,62.0,15.0,1.1,30.0,33.5,131
local,1.5942548322249408,40.5,0.9,66.0,63.5,14.0,1.05,30.0,38.0,
local,1.5942527755552445,40.5,0.8,66.5,62.5,14.0,1.15,29.5,38.0,
,1.593973726757513,39.5,0.9,66.0,64.0,15.0,1.1,30.0,38.5,47
local,1.593625731628829,40.5,0.9,65.5,60.0,14.0,1.1,30.0,38.0,
,1.5934179611134178,39.0,0.9,66.0,61.0,15.0,1.1,29.5,39.0,29
,1.5933434829605169,39.0,0.7,66.5,62.0,14.0,1.1,30.0,34.0,29
,1.5930370226138701,39.5,0.9,66.0,60.0,14.0,1.15,29.5,33.0,29
local,1.5922963782938861,39.5,0.6,66.0,60.0,14.0,1.1,30.0,34.0,
local,1.591241187741006,40.5,0.9,66.0,63.5,14.0,1.1,30.0,33.5,
local,1.5912113329747934,40.5,0.9,66.0,63.5,14.0,1.1,30.0,34.0,
local,1.591080652722634,40.5,0.9,66.5,63.5,14.0,1.2,30.0,33.0,
