seed,cagr,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,stage
47,1.6587792483742323,39.5,0.7,66.5,58.0,14.0,1.1,30.0,37.0,
47,1.6587792483742323,39.0,0.7,66.5,55.5,14.0,1.1,30.0,37.0,
71,1.6587792483742323,40.0,0.7,66.5,57.5,14.0,1.1,29.5,37.0,
97,1.6587792483742323,39.0,0.7,66.5,56.5,14.0,1.1,30.0,37.0,
97,1.6587792483742323,39.0,0.7,66.5,58.0,14.0,1.1,29.5,37.0,
47,1.6587097709673713,40.5,0.7,66.5,55.0,14.0,1.1,29.5,36.0,
71,1.6587097709673713,40.5,0.7,66.5,55.0,14.0,1.1,30.0,36.0,
11,1.6585374706917246,40.5,0.8,66.0,55.0,14.0,1.1,30.0,34.5,
11,1.6585145348644534,40.5,0.8,66.0,58.0,14.0,1.1,29.5,39.0,
11,1.6585145348644534,40.5,0.8,66.0,60.0,14.0,1.1,30.0,39.0,
11,1.6585145348644534,40.5,0.8,66.0,57.5,14.0,1.1,30.0,39.0,
11,1.6585145348644534,40.5,0.8,66.0,56.5,14.0,1.1,30.0,39.0,
29,1.6585145348644534,40.5,0.8,66.0,55.5,14.0,1.1,30.0,39.0,
29,1.6585145348644534,40.5,0.8,66.0,56.0,14.0,1.1,29.5,39.0,
29,1.6585145348644534,40.5,0.8,66.0,56.5,14.0,1.1,29.5,39.0,
29,1.6585145348644534,40.5,0.8,66.0,59.0,14.0,1.1,30.0,39.0,
29,1.6585145348644534,40.5,0.8,66.0,57.0,14.0,1.1,29.5,39.0,
29,1.6585145348644534,40.5,0.8,66.0,58.5,14.0,1.1,30.0,39.0,
71,1.6585145348644534,40.5,0.8,66.0,57.5,14.0,1.1,29.5,39.0,
71,1.6585145348644534,40.5,0.8,66.0,59.5,14.0,1.1,30.0,39.0,
97,1.6585145348644534,40.5,0.8,66.0,57.0,14.0,1.1,30.0,39.0,
97,1.6585145348644534,40.5,0.8,66.0,56.0,14.0,1.1,30.0,39.0,
97,1.6584754128047412,40.0,0.7,66.5,54.5,14.0,1.1,30.0,34.5,
11,1.6584524775128586,40.0,0.7,66.5,57.0,14.0,1.1,30.0,39.0,
11,1.6584524775128586,40.0,0.7,66.5,56.0,14.0,1.1,30.0,39.0,
71,1.6584524775128586,39.5,0.7,66.5,57.0,14.0,1.1,30.0,39.0,
71,1.6584524775128586,39.5,0.7,66.5,57.5,14.0,1.1,29.5,39.0,
97,1.6584524775128586,39.0,0.7,66.5,57.5,14.0,1.1,30.0,39.0,
29,1.6574881915255135,40.5,0.7,66.5,58.5,14.0,1.1,30.5,39.5,
29,1.6574247030345761,40.5,0.9,66.5,65.0,14.0,1.1,30.0,38.0,
131,1.6574247030345761,40.5,0.9,66.5,65.0,14.0,1.1,29.5,38.0,
29,1.6572232124995754,40.5,0.9,66.5,65.0,14.0,1.1,30.0,37.5,
131,1.6572232124995754,40.5,0.9,66.5,65.0,14.0,1.1,29.5,37.5,
29,1.657058673086226,40.5,0.9,66.5,63.0,14.0,1.1,30.0,37.0,
131,1.657058673086226,40.5,0.9,66.5,63.0,14.0,1.1,29.5,37.0,
131,1.6557886795074421,40.5,0.9,66.5,65.0,14.0,1.1,30.0,34.5,
47,1.6553673943002543,40.5,0.8,66.0,54.5,14.0,1.1,29.5,37.0,
131,1.6553673943002543,40.5,0.8,66.0,55.0,14.0,1.1,30.0,37.0,
47,1.654979066494258,39.5,0.7,66.5,55.0,14.0,1.1,29.5,39.0,
97,1.654979066494258,39.5,0.7,66.5,54.5,14.0,1.1,30.0,39.0,
11,1.6544580070184405,40.5,0.9,66.5,55.5,14.0,1.1,30.0,38.0,
29,1.6544580070184405,40.5,0.9,66.5,59.5,14.0,1.1,29.5,38.0,
47,1.6544580070184405,40.5,0.9,66.5,59.5,14.0,1.1,30.0,38.0,
47,1.6544580070184405,40.5,0.9,66.5,57.5,14.0,1.1,30.0,38.0,
131,1.6544580070184405,40.5,0.9,66.5,58.0,14.0,1.1,29.5,38.0,
131,1.6544580070184405,40.5,0.9,66.5,59.0,14.0,1.1,30.0,38.0,
131,1.6544580070184405,40.5,0.9,66.5,55.5,14.0,1.1,29.5,38.0,
131,1.6544580070184405,40.5,0.9,66.5,57.0,14.0,1.1,30.0,38.0,
,1.6544580070184405,40.5,0.9,66.5,57.0,14.0,1.1,29.5,38.0,local
,1.6544580070184405,40.5,0.9,66.5,56.5,14.0,1.1,30.0,38.0,local
,1.6544580070184405,40.5,0.9,66.5,58.5,14.0,1.1,30.0,38.0,local
,1.6544580070184405,40.5,0.9,66.5,56.0,14.0,1.1,30.0,38.0,local
,1.6544580070184405,40.5,0.9,66.5,58.0,14.0,1.1,30.0,38.0,local
,1.6544580070184405,40.5,0.9,66.5,57.5,14.0,1.1,29.5,38.0,local
11,1.6542567414234606,40.5,0.9,66.5,56.0,14.0,1.1,29.5,37.5,
11,1.6542567414234606,40.5,0.9,66.5,58.5,14.0,1.1,30.0,37.5,
29,1.6542567414234606,40.5,0.9,66.5,57.0,14.0,1.1,29.5,37.5,
131,1.6542567414234606,40.5,0.9,66.5,58.5,14.0,1.1,29.5,37.5,
131,1.6542567414234606,40.5,0.9,66.5,58.0,14.0,1.1,29.5,37.5,
,1.6537156760416112,38.5,0.7,66.5,57.0,14.0,1.1,29.5,38.0,local
,1.6537156760416112,38.5,0.7,66.5,56.5,14.0,1.1,30.0,38.0,local
,1.6537156760416112,38.5,0.7,66.5,58.5,14.0,1.1,30.0,38.0,local
,1.6537156760416112,38.5,0.7,66.5,56.0,14.0,1.1,30.0,38.0,local
,1.6537156760416112,38.5,0.7,66.5,58.0,14.0,1.1,30.0,38.0,local
,1.6537156760416112,38.5,0.7,66.5,57.5,14.0,1.1,29.5,38.0,local
,1.6537156760416112,38.5,0.7,66.5,55.5,14.0,1.1,29.5,38.0,local
,1.6537156760416112,38.5,0.7,66.5,57.5,14.0,1.1,30.0,38.0,local
97,1.653514466731449,38.5,0.7,66.5,57.5,14.0,1.1,29.5,37.5,
11,1.6530047847227802,40.5,0.8,66.0,62.5,14.0,1.1,29.5,38.0,
11,1.6530047847227802,40.5,0.8,66.0,62.0,14.0,1.1,30.0,38.0,
11,1.6530047847227802,40.5,0.8,66.0,64.0,14.0,1.1,30.0,38.0,
29,1.6530047847227802,40.5,0.8,66.0,61.5,14.0,1.1,30.0,38.0,
47,1.6530047847227802,40.5,0.8,66.0,63.0,14.0,1.1,29.5,38.0,
71,1.6530047847227802,40.5,0.8,66.0,64.0,14.0,1.1,29.5,38.0,
97,1.6530047847227802,40.5,0.8,66.0,64.5,14.0,1.1,30.0,38.0,
11,1.6529538275557751,40.5,0.8,66.0,57.0,14.0,1.1,30.5,38.0,
47,1.6529538275557751,40.5,0.8,66.0,59.5,14.0,1.1,30.5,38.0,
71,1.6529538275557751,40.5,0.8,66.0,57.5,14.0,1.1,30.5,38.0,
71,1.6528919000070315,40.0,0.7,66.5,56.5,14.0,1.1,30.5,38.0,
97,1.6528919000070315,39.0,0.7,66.5,58.0,14.0,1.1,30.5,38.0,
11,1.6528642497996096,40.5,0.9,66.5,65.0,14.0,1.1,29.5,38.5,
47,1.6528036293136266,40.5,0.8,66.0,63.5,14.0,1.1,30.0,37.5,
