feature,direction,threshold,threshold_pct_if_ratio,n,loss_rate,avg_return_pct,median_return_pct,avg_tqqq_episode_return_pct,tqqq_up_rate
pre10_tqqq_open_return,<=,0.12754428103699314,,87,0.3333333333333333,3.5039205058803042,2.9606791366511453,2.053740821499639,0.5287356321839081
GSPC_SMA50_RATIO,>=,0.04648074119427386,4.648074119427386,39,0.3333333333333333,4.328091807484872,3.440716688657597,2.3586322136800932,0.48717948717948717
GSPC_SMA160_SLOPE_20D,>=,0.014288445504819558,1.4288445504819558,39,0.3333333333333333,4.249550543177114,3.4312482302532477,1.494575594138471,0.4358974358974359
GSPC_CLOSE_RET_10D,<=,0.01882953901130966,1.8829539011309662,39,0.3333333333333333,3.2997372384575376,3.846813831535645,1.7541361199646106,0.48717948717948717
GSPC_SMA50_RATIO,<=,0.04648074119427386,4.648074119427386,58,0.3275862068965517,3.1727525087999275,2.3480943562938172,1.565830243930756,0.5
GSPC_SMA160_SLOPE_20D,<=,0.014288445504819558,1.4288445504819558,58,0.3275862068965517,3.2255647382482486,2.6287070710621308,2.1468338329328813,0.5344827586206896
GSPC_CLOSE_RET_10D,>=,0.01882953901130966,1.8829539011309662,58,0.3275862068965517,3.86423230521486,3.0370105505238443,1.972301755222201,0.5
GSPC_SMA160_RATIO,<=,0.07664024330745534,7.664024330745534,49,0.32653061224489793,2.4798949170617335,3.440716688657597,1.513456610192153,0.5102040816326531
GSPC_SMA160_RATIO,>=,0.07664024330745534,7.664024330745534,49,0.32653061224489793,4.788238609573412,2.9606791366511453,2.2172538077977957,0.46938775510204084
GSPC_SMA50_RATIO,<=,0.04372294237486973,4.372294237486973,49,0.32653061224489793,3.4945989055770625,2.9606791366511453,1.665102269721817,0.5510204081632653
GSPC_SMA50_RATIO,>=,0.04372294237486973,4.372294237486973,49,0.32653061224489793,3.7060717802508107,3.323316802816323,2.0623525152251294,0.42857142857142855
GSPC_BB20_Z,>=,1.4737420275733766,,77,0.3246753246753247,4.084204519425124,3.414045651775033,2.002329249710064,0.5064935064935064
GSPC_SMA160_SLOPE_20D,>=,0.0049433855024281215,0.49433855024281215,77,0.3246753246753247,3.762934533556105,3.0941502907246177,1.830196460557832,0.4805194805194805
GSPC_SMA160_Z,<=,2.208823866889909,,68,0.3235294117647059,3.796866084176021,3.2626992604889327,1.7785531977911915,0.47058823529411764
GSPC_SMA160_RATIO,>=,0.04933098984194273,4.933098984194273,87,0.3218390804597701,3.815080048378091,2.979870810323071,1.8266486283474488,0.5057471264367817
GSPC_SMA160_RATIO,<=,0.11630856040879088,11.630856040879088,87,0.3218390804597701,3.0191865324421716,3.0941502907246177,1.782558499925576,0.4942528735632184
GSPC_SMA160_Z,<=,2.3337259655624454,,87,0.3218390804597701,3.5639944687500607,3.323316802816323,1.7447792100621793,0.4827586206896552
GSPC_SMA50_RATIO,>=,0.031424921504486655,3.1424921504486654,87,0.3218390804597701,4.13053504008724,3.323316802816323,1.9766143447606201,0.4942528735632184
GSPC_SMA160_SLOPE_20D,<=,0.022720081049713285,2.2720081049713285,87,0.3218390804597701,3.556810671162318,3.323316802816323,1.939383585964764,0.4827586206896552
pre10_tqqq_open_return,>=,0.009241790125321121,,87,0.3218390804597701,3.9785773699804152,3.414045651775033,1.4972477095334058,0.47126436781609193
GSPC_SMA160_Z,<=,2.2760883340339486,,77,0.3116883116883117,3.6062733884644924,3.4312482302532477,1.6806839362511858,0.4675324675324675
GSPC_SMA50_RATIO,>=,0.03576849216779245,3.5768492167792454,77,0.3116883116883117,4.296353523680725,3.0941502907246177,2.1772488564060395,0.4935064935064935
GSPC_CLOSE_RET_10D,<=,0.032842778798289944,3.2842778798289944,77,0.3116883116883117,3.845258546951827,3.0941502907246177,1.9735493652646516,0.4935064935064935
GSPC_BB20_Z,>=,1.3263694908277583,,87,0.3103448275862069,4.236689284440365,3.4312482302532477,1.9284832441939292,0.5172413793103449
GSPC_CLOSE_RET_10D,<=,0.038714988905339975,3.8714988905339975,87,0.3103448275862069,3.9432995226389607,3.323316802816323,1.7657915912602744,0.47126436781609193
