Date,gspc_open,gspc_close_sma160_prev,signal_below_prev_close_sma_open,tqqq_open,tqqq_peak_open,tqqq_drawdown_from_peak,target_regime_at_open,overnight_regime,close_to_open_return,open_to_close_return,strategy_return,strategy_equity
2019-05-01,2952.330078125,2753.668243408203,False,8.034508205538293,8.637991164221006,-0.06986380828708993,above,above,0.0186112638451452,-0.029560277373598,-0.011499167649988484,40.20680762401889
2019-05-02,2922.159912109375,2753.959494018555,False,7.799390281634162,8.637991164221006,-0.09708285950330342,above,above,0.0003058054897226,-0.0125478150569345,-0.01224584675794016,39.71444121922918
2019-05-03,2929.2099609375,2754.144682312012,False,7.89367657350069,8.637991164221006,-0.08616755638779827,above,above,0.0249498117977255,0.0216208091680083,0.04711005608539032,41.585390772467
2019-05-06,2908.889892578125,2754.4991821289063,False,7.555921831263524,8.637991164221006,-0.12526863160493462,above,above,-0.0630457234228396,0.0481756305623342,-0.017907360340659317,40.8407061949973
2019-05-07,2913.030029296875,2754.675994873047,False,7.663334646318924,8.637991164221006,-0.11283370165266648,above,above,-0.0323990719914807,-0.0266313519522564,-0.05816759285460549,38.46510062515213
2019-05-08,2879.610107421875,2754.545182800293,False,7.384059732579511,8.637991164221006,-0.14516470413113425,above,above,-0.0100800958311378,0.0012930633980252,-0.00880006663608035,38.12660517648726
2019-05-09,2859.840087890625,2754.486557006836,False,7.156105042898297,8.637991164221006,-0.17155448450338273,above,above,-0.0321227138086938,0.0168445989268206,-0.01581920911242163,37.52347243645367
2019-05-10,2863.10009765625,2754.2766189575195,False,7.189523737454615,8.637991164221006,-0.16768568052790056,above,above,-0.0119729633190099,0.0149402006325534,0.002788358839391325,37.62810134250652
2019-05-13,2840.18994140625,2754.1106811523437,False,6.740774044714647,8.637991164221006,-0.21963638112582562,above,above,-0.076218644261009,-0.0293909323807756,-0.10336943962215495,33.73850559268596
2019-05-14,2820.1201171875,2753.3676818847657,False,6.638134943209057,8.637991164221006,-0.23151866944428634,above,above,0.0145932365456973,0.0165408486391607,0.0313754697017159,34.79706705269045
2019-05-15,2820.3798828125,2752.7723068237306,False,6.619039266738941,8.637991164221006,-0.23372933117188932,above,above,-0.0191015555923738,0.0618463822898998,0.04156346458802829,36.2433537169022
2019-05-16,2855.800048828125,2752.344743347168,False,7.041531649659782,8.637991164221006,-0.18481837781611077,above,above,0.0018679563800978,0.0293220261395987,0.031244754785501483,37.375768416391004
2019-05-17,2858.60009765625,2752.099493408203,False,7.028404021065904,8.637991164221006,-0.18633813262302157,above,above,-0.0302979434141039,-0.0008490276376083,-0.031121247260390894,36.21258788595739
2019-05-20,2841.93994140625,2751.809243774414,False,6.728839386246486,8.637991164221006,-0.22101802857617203,above,above,-0.0418084687133967,-0.0086910547921913,-0.05013616381322228,34.39702764760632
2019-05-21,2854.02001953125,2751.348181152344,False,6.835058718773923,8.637991164221006,-0.20872126530007573,above,above,0.0246913325593653,0.0052383313194102,0.030059005259439386,35.4309680825748
