Date,signal_source,signal_price,signal_sma,signal_below_sma,drawdown_trigger,target_regime,realized_regime,strategy_return,strategy_equity,tecl_buy_hold_return,tecl_buy_hold_equity
2017-05-22,TECH_UNDERLIER,13.174183516389117,11.927288430747685,False,False,above,above,0.015263946144300267,1348591.5177184409,0.02492206417211884,0.866455857445977
2017-05-23,TECH_UNDERLIER,13.197844904816959,11.939904377954978,False,False,above,above,0.02492206417211884,1382201.202064995,0.003039689130545753,0.8690896138979533
2017-05-24,TECH_UNDERLIER,13.2522638231626,11.953109782664002,False,False,above,above,0.003039689130545753,1386402.6640351391,0.011198914624131362,0.8788224742847157
2017-05-25,TECH_UNDERLIER,13.346907398579711,11.966657370457312,False,False,above,above,0.011198914624131362,1401928.869104337,0.024364480094819063,0.9002345269663053
2017-05-26,TECH_UNDERLIER,13.339809278795496,11.97999925892337,False,False,above,above,0.024364480094819063,1436086.1371299818,-0.0008900622696768057,0.8994332621799923
2017-05-30,TECH_UNDERLIER,13.396590280480703,11.993886705305218,False,False,above,above,-0.0008900622696768057,1434807.9310433164,0.011202946223988874,0.9095095646482616
2017-05-31,TECH_UNDERLIER,13.375298888569443,12.007157084616155,False,False,above,above,0.011202946223988874,1450882.0071365475,-0.006042986549605112,0.904013410582355
2017-06-01,TECH_UNDERLIER,13.408422458415314,12.021426483978974,False,False,above,above,-0.006042986549605112,1442114.3466823571,0.006713150069705076,0.9100821882726202
2017-06-02,TECH_UNDERLIER,13.531459502116409,12.036347539651308,False,False,above,above,0.006713150069705076,1451795.4767093104,0.027554034034324548,0.9351586238623165
2017-06-05,TECH_UNDERLIER,13.54328772346251,12.051782481984858,False,False,above,above,0.027554034034324548,1491798.2986854373,0.003551077493399557,0.9384794446042725
2017-06-06,TECH_UNDERLIER,13.51725930595947,12.066790755705126,False,False,above,above,0.003551077493399557,1497095.7900485909,-0.005002655419451663,0.933784555324679
2017-06-07,TECH_UNDERLIER,13.559850992106139,12.082211880889748,False,False,above,above,-0.005002655419451663,1489606.335681066,0.007480337389675684,0.9407695788477759
